"ID","Via","Velocidade_Verificada_Km_h","Fila_em_metros","Vel_verificada_ms","Atraso_segundos","Data","Hora","pico","fase","date_brasil"
2014,R. Sarmento Leite,14.03,569,3.89722222222222,89,2019-10-11,17:54:17,tarde,obra,01/11/2019
2021,R. Garibaldi,5.61,1217,1.55833333333333,601,2019-10-11,17:05:15,tarde,obra,01/11/2019
2031,Av. Osvaldo Aranha,6.11,799,1.69722222222222,392,2019-10-11,16:55:36,tarde,obra,01/11/2019
2041,Av. Osvaldo Aranha,7.92,326,2.2,109,2019-10-11,16:42:53,tarde,obra,01/11/2019
2051,R. Santo Antônio,8.46,643,2.35,169,2019-10-11,17:15:15,tarde,obra,01/11/2019
2061,R. Mostardeiro,15.25,995,4.23611111111111,128,2019-10-11,17:56:24,tarde,obra,01/11/2019
2071,Av. Independência - Pista Dir.,11.32,397,3.14444444444444,86,2019-10-11,17:58:20,tarde,obra,01/11/2019
2081,R. Santo Antônio,4.39,153,1.21944444444444,99,2019-10-11,17:58:12,tarde,obra,01/11/2019
2091,R. Sarmento Leite,4.64,218,1.28888888888889,137,2019-10-11,17:15:14,tarde,obra,01/11/2019
2104,R. Sarmento Leite,4.79,182,1.33055555555556,103,2019-10-11,18:55:45,tarde,obra,01/11/2019
2114,Av. Independência,7.84,636,2.17777777777778,229,2019-10-11,17:47:30,tarde,obra,01/11/2019
2121,R. Sarmento Leite,15.02,647,4.17222222222222,88,2019-10-11,18:57:33,tarde,obra,01/11/2019
2131,R. Prof. Annes Dias,6.02,227,1.67222222222222,115,2019-10-11,18:59:58,tarde,obra,01/11/2019
2141,R. Garibaldi,4.86,1217,1.35,722,2019-10-11,17:05:15,tarde,obra,01/11/2019
2151,R. Tomaz Flores,6.97,280,1.93611111111111,82,2019-10-11,18:53:48,tarde,obra,01/11/2019
2161,Av. Osvaldo Aranha,7.04,326,1.95555555555556,127,2019-10-11,18:25:38,tarde,obra,01/11/2019
2171,Av. Osvaldo Aranha,15.82,699,4.39444444444444,93,2019-10-11,16:55:36,tarde,obra,01/11/2019
2181,R. Santo Antônio,11.88,643,3.3,90,2019-10-11,18:43:24,tarde,obra,01/11/2019
2191,Av. Osvaldo Aranha,5.48,326,1.52222222222222,175,2019-10-11,19:47:00,tarde,obra,01/11/2019
2201,R. Santo Antônio,11.35,643,3.15277777777778,99,2019-10-11,19:41:00,tarde,obra,01/11/2019
2214,Av. Independência,14.4,532,4,75,2019-10-11,19:57:32,tarde,obra,01/11/2019
2221,R. Garibaldi,5.41,1217,1.50277777777778,630,2019-10-11,19:44:54,tarde,obra,01/11/2019
2231,R. Sarmento Leite,12.55,422,3.48611111111111,77,2019-10-14,16:52:33,tarde,obra,01/11/2019
2241,R. Garibaldi,8.33,450,2.31388888888889,123,2019-10-14,16:14:49,tarde,obra,01/11/2019
2251,R. Mostardeiro,12.48,995,3.46666666666667,180,2019-10-14,16:58:21,tarde,obra,01/11/2019
2261,R. Santo Antônio,9.72,643,2.7,133,2019-10-14,16:38:01,tarde,obra,01/11/2019
2271,R. Sarmento Leite,12.39,647,3.44166666666667,121,2019-10-14,17:35:49,tarde,obra,01/11/2019
2281,R. Garibaldi,7.76,313,2.15555555555556,96,2019-10-14,17:55:04,tarde,obra,01/11/2019
2291,R. Garibaldi,4.1,447,1.13888888888889,328,2019-10-14,17:58:51,tarde,obra,01/11/2019
2301,R. Santo Antônio,10.84,643,3.01111111111111,109,2019-10-14,17:53:31,tarde,obra,01/11/2019
2314,R. Mostardeiro,11.47,995,3.18611111111111,205,2019-10-14,17:21:00,tarde,obra,01/11/2019
2321,Av. Independência - Pista Dir.,12.27,414,3.40833333333333,79,2019-10-14,17:55:09,tarde,obra,01/11/2019
2331,R. Sarmento Leite,16.54,569,4.59444444444444,67,2019-10-14,17:35:49,tarde,obra,01/11/2019
2341,R. Garibaldi,8.55,1020,2.375,280,2019-10-14,18:58:35,tarde,obra,01/11/2019
2351,Av. Osvaldo Aranha,20.66,799,5.73888888888889,60,2019-10-14,18:53:03,tarde,obra,01/11/2019
2361,R. Mostardeiro,11.46,1111,3.18333333333333,227,2019-10-14,17:21:00,tarde,obra,01/11/2019
2371,R. Santo Antônio,6.83,643,1.89722222222222,234,2019-10-14,17:53:31,tarde,obra,01/11/2019
2381,Av. Independência - Pista Dir.,11.13,414,3.09166666666667,91,2019-10-14,18:51:01,tarde,obra,01/11/2019
2391,R. Garibaldi,6.25,450,1.73611111111111,188,2019-10-14,19:50:14,tarde,obra,01/11/2019
2401,R. Santo Antônio,11.36,568,3.15555555555556,83,2019-10-14,19:50:22,tarde,obra,01/11/2019
2414,R. Garibaldi,12.26,447,3.40555555555556,67,2019-10-14,19:50:21,tarde,obra,01/11/2019
2421,R. Mostardeiro,10.51,923,2.91944444444444,213,2019-10-15,16:26:48,tarde,obra,01/11/2019
2431,R. Garibaldi,11.17,1020,3.10277777777778,180,2019-10-15,16:58:32,tarde,obra,01/11/2019
2441,R. Sarmento Leite,15.03,647,4.175,88,2019-10-15,17:55:35,tarde,obra,01/11/2019
2451,R. Prof. Annes Dias,3.65,346,1.01388888888889,307,2019-10-15,17:22:02,tarde,obra,01/11/2019
2461,Av. Independência,6.02,636,1.67222222222222,317,2019-10-15,16:07:38,tarde,obra,01/11/2019
2471,Av. Independência - Pista Dir.,10.27,397,2.85277777777778,98,2019-10-15,17:25:45,tarde,obra,01/11/2019
2481,R. Garibaldi,9.16,672,2.54444444444444,168,2019-10-15,17:28:00,tarde,obra,01/11/2019
2491,Av. Osvaldo Aranha,8.8,985,2.44444444444444,310,2019-10-15,17:12:19,tarde,obra,01/11/2019
2501,R. Mostardeiro,13.46,620,3.73888888888889,109,2019-10-15,17:51:57,tarde,obra,01/11/2019
2514,R. Sarmento Leite,14,569,3.88888888888889,89,2019-10-15,18:09:36,tarde,obra,01/11/2019
2521,Av. Independência,9.21,807,2.55833333333333,232,2019-10-15,16:07:38,tarde,obra,01/11/2019
2531,R. Garibaldi,9.78,672,2.71666666666667,151,2019-10-15,18:44:22,tarde,obra,01/11/2019
2541,Av. Osvaldo Aranha,11.68,699,3.24444444444444,149,2019-10-15,17:12:19,tarde,obra,01/11/2019
2551,R. Garibaldi,10.71,424,2.975,80,2019-10-15,18:44:21,tarde,obra,01/11/2019
2561,Av. Independência - Pista Dir.,10.72,414,2.97777777777778,96,2019-10-15,18:50:06,tarde,obra,01/11/2019
2571,R. Mostardeiro,8.94,1111,2.48333333333333,326,2019-10-15,18:58:03,tarde,obra,01/11/2019
2581,R. Santo Antônio,9.53,936,2.64722222222222,208,2019-10-15,18:54:06,tarde,obra,01/11/2019
2591,R. Santo Antônio,13,568,3.61111111111111,61,2019-10-15,19:54:14,tarde,obra,01/11/2019
2601,Av. Independência,11.45,876,3.18055555555556,186,2019-10-16,16:27:14,tarde,obra,01/11/2019
2614,R. Garibaldi,12.63,672,3.50833333333333,95,2019-10-16,16:44:00,tarde,obra,01/11/2019
2621,R. Mostardeiro,13.77,698,3.825,106,2019-10-16,16:19:43,tarde,obra,01/11/2019
2631,R. Santo Antônio,11.29,568,3.13611111111111,85,2019-10-16,16:44:20,tarde,obra,01/11/2019
2641,Av. Independência - Pista Dir.,10.28,414,2.85555555555556,102,2019-10-16,16:55:27,tarde,obra,01/11/2019
2651,R. Prof. Annes Dias,4.02,346,1.11666666666667,275,2019-10-16,17:17:17,tarde,obra,01/11/2019
2661,Av. Independência,8.98,807,2.49444444444444,241,2019-10-16,16:27:14,tarde,obra,01/11/2019
2671,R. Sarmento Leite,12.86,647,3.57222222222222,114,2019-10-16,17:37:40,tarde,obra,01/11/2019
2681,R. Garibaldi,8.85,672,2.45833333333333,177,2019-10-16,17:48:19,tarde,obra,01/11/2019
2691,R. Santo Antônio,6.79,280,1.88611111111111,101,2019-10-16,16:44:20,tarde,obra,01/11/2019
2701,R. Mostardeiro,10.71,620,2.975,151,2019-10-16,17:40:12,tarde,obra,01/11/2019
2714,R. Garibaldi,7.5,424,2.08333333333333,141,2019-10-16,17:42:08,tarde,obra,01/11/2019
2721,Av. Independência,14.06,876,3.90555555555556,135,2019-10-16,16:27:14,tarde,obra,01/11/2019
2731,R. Sarmento Leite,14.38,569,3.99444444444444,85,2019-10-16,17:37:40,tarde,obra,01/11/2019
2741,R. Garibaldi,7.94,1217,2.20555555555556,372,2019-10-16,18:52:11,tarde,obra,01/11/2019
2751,R. Tomaz Flores,7.69,280,2.13611111111111,69,2019-10-16,18:52:26,tarde,obra,01/11/2019
2761,Av. Osvaldo Aranha,11.07,1107,3.075,233,2019-10-16,18:48:22,tarde,obra,01/11/2019
2771,R. Mostardeiro,13.21,620,3.66944444444444,112,2019-10-16,17:40:12,tarde,obra,01/11/2019
2781,R. Santo Antônio,11.82,568,3.28333333333333,76,2019-10-16,18:37:56,tarde,obra,01/11/2019
2791,R. Mostardeiro,6.6,437,1.83333333333333,185,2019-10-16,19:43:39,tarde,obra,01/11/2019
2801,R. Garibaldi,13.94,672,3.87222222222222,77,2019-10-16,19:57:06,tarde,obra,01/11/2019
2814,R. Santo Antônio,11.56,568,3.21111111111111,80,2019-10-16,19:58:56,tarde,obra,01/11/2019
2821,Av. Osvaldo Aranha,21.03,730,5.84166666666667,38,2019-10-17,16:45:00,tarde,obra,01/11/2019
2831,R. Prof. Annes Dias,4.8,346,1.33333333333333,225,2019-10-17,16:46:47,tarde,obra,01/11/2019
2841,R. Sarmento Leite,14.93,647,4.14722222222222,89,2019-10-17,16:52:27,tarde,obra,01/11/2019
2851,R. Garibaldi,7.38,1191,2.05,411,2019-10-17,16:56:29,tarde,obra,01/11/2019
2861,Av. Independência - Pista Dir.,9.76,397,2.71111111111111,106,2019-10-17,16:36:39,tarde,obra,01/11/2019
2871,R. Santo Antônio,9.56,643,2.65555555555556,137,2019-10-17,16:39:17,tarde,obra,01/11/2019
2881,R. Sarmento Leite,1.73,218,0.480555555555556,421,2019-10-17,17:10:34,tarde,obra,01/11/2019
2891,R. Prof. Annes Dias,4.48,346,1.24444444444444,244,2019-10-17,16:46:47,tarde,obra,01/11/2019
2901,R. Sarmento Leite,12.42,569,3.45,108,2019-10-17,17:28:48,tarde,obra,01/11/2019
2914,R. Garibaldi,7.83,672,2.175,213,2019-10-17,17:59:58,tarde,obra,01/11/2019
2921,R. Garibaldi,6.77,253,1.88055555555556,93,2019-10-17,17:47:44,tarde,obra,01/11/2019
2931,R. Mostardeiro,10.49,620,2.91388888888889,156,2019-10-17,17:52:03,tarde,obra,01/11/2019
2941,Av. Independência - Pista Dir.,9.61,414,2.66944444444444,112,2019-10-17,17:57:44,tarde,obra,01/11/2019
2951,R. Santo Antônio,4.75,936,1.31944444444444,562,2019-10-17,17:45:57,tarde,obra,01/11/2019
2961,R. Prof. Annes Dias,2.93,346,0.813888888888889,390,2019-10-17,16:46:47,tarde,obra,01/11/2019
2971,R. Sarmento Leite,5.9,218,1.63888888888889,95,2019-10-17,18:23:32,tarde,obra,01/11/2019
2981,R. Sarmento Leite,13.47,569,3.74166666666667,95,2019-10-17,17:28:48,tarde,obra,01/11/2019
2991,R. Garibaldi,10.54,1020,2.92777777777778,199,2019-10-17,18:52:44,tarde,obra,01/11/2019
3001,Av. Osvaldo Aranha,9.67,326,2.68611111111111,82,2019-10-17,18:52:58,tarde,obra,01/11/2019
3014,R. Tomaz Flores,7.02,422,1.95,136,2019-10-17,18:53:14,tarde,obra,01/11/2019
3021,R. Mostardeiro,10.41,1111,2.89166666666667,263,2019-10-17,18:52:56,tarde,obra,01/11/2019
3031,Av. Independência - Pista Dir.,8.24,414,2.28888888888889,138,2019-10-17,17:57:44,tarde,obra,01/11/2019
3041,R. Santo Antônio,4.85,936,1.34722222222222,548,2019-10-17,18:23:26,tarde,obra,01/11/2019
3051,R. Sarmento Leite,15.25,647,4.23611111111111,86,2019-10-17,19:48:08,tarde,obra,01/11/2019
3061,R. Sarmento Leite,11.41,439,3.16944444444444,63,2019-10-17,19:59:34,tarde,obra,01/11/2019
3071,R. Garibaldi,9.74,672,2.70555555555556,152,2019-10-17,19:30:08,tarde,obra,01/11/2019
3081,R. Garibaldi,9.46,672,2.62777777777778,159,2019-10-18,16:57:32,tarde,obra,01/11/2019
3091,R. Mostardeiro,8.86,510,2.46111111111111,149,2019-10-18,16:57:45,tarde,obra,01/11/2019
3104,Av. Osvaldo Aranha,12.64,699,3.51111111111111,133,2019-10-18,16:47:46,tarde,obra,01/11/2019
3114,R. Santo Antônio,11.35,643,3.15277777777778,99,2019-10-18,16:57:54,tarde,obra,01/11/2019
3121,R. Garibaldi,3.88,450,1.07777777777778,346,2019-10-18,16:59:37,tarde,obra,01/11/2019
3131,R. Prof. Annes Dias,3.77,346,1.04722222222222,296,2019-10-18,17:24:53,tarde,obra,01/11/2019
3141,Av. Independência,7.61,876,2.11388888888889,325,2019-10-18,17:30:43,tarde,obra,01/11/2019
3151,R. Sarmento Leite,12.65,569,3.51388888888889,105,2019-10-18,17:59:58,tarde,obra,01/11/2019
3161,Av. Osvaldo Aranha,7.53,985,2.09166666666667,379,2019-10-18,16:47:46,tarde,obra,01/11/2019
3171,R. Garibaldi,4.82,1217,1.33888888888889,729,2019-10-18,17:53:31,tarde,obra,01/11/2019
3181,R. Mostardeiro,12.68,698,3.52222222222222,122,2019-10-18,17:28:54,tarde,obra,01/11/2019
3191,R. Santo Antônio,7.45,936,2.06944444444444,306,2019-10-18,17:47:33,tarde,obra,01/11/2019
3201,Av. Independência,8.27,807,2.29722222222222,268,2019-10-18,17:30:43,tarde,obra,01/11/2019
3214,R. Sarmento Leite,14.23,569,3.95277777777778,87,2019-10-18,17:59:58,tarde,obra,01/11/2019
3221,R. Garibaldi,7.97,1020,2.21388888888889,311,2019-10-18,18:48:11,tarde,obra,01/11/2019
3231,Av. Osvaldo Aranha,10.7,799,2.97222222222222,190,2019-10-18,16:47:46,tarde,obra,01/11/2019
3241,R. Santo Antônio,13.23,643,3.675,70,2019-10-18,18:57:30,tarde,obra,01/11/2019
3251,R. Garibaldi,4.02,450,1.11666666666667,332,2019-10-18,18:48:11,tarde,obra,01/11/2019
3261,R. Sarmento Leite,15.04,647,4.17777777777778,88,2019-09-25,16:37:10,tarde,obra,01/11/2019
3271,Av. Independência,14.3,742,3.97222222222222,110,2019-09-25,16:52:12,tarde,obra,01/11/2019
3281,Av. Osvaldo Aranha,11.49,699,3.19166666666667,153,2019-09-25,16:54:08,tarde,obra,01/11/2019
3291,Av. Independência - Pista Dir.,9.93,397,2.75833333333333,103,2019-09-25,16:34:53,tarde,obra,01/11/2019
3301,R. Mostardeiro,9.76,751,2.71111111111111,190,2019-09-25,16:37:27,tarde,obra,01/11/2019
3314,R. Santo Antônio,11.42,568,3.17222222222222,82,2019-09-25,16:48:31,tarde,obra,01/11/2019
3321,R. Garibaldi,7.14,253,1.98333333333333,86,2019-09-25,16:55:52,tarde,obra,01/11/2019
3331,R. Garibaldi,13.84,672,3.84444444444444,78,2019-09-25,16:59:40,tarde,obra,01/11/2019
3341,R. Prof. Annes Dias,3.89,346,1.08055555555556,285,2019-09-25,17:36:56,tarde,obra,01/11/2019
3351,Av. Independência,9.69,876,2.69166666666667,236,2019-09-25,16:52:12,tarde,obra,01/11/2019
3361,Av. Osvaldo Aranha,10,985,2.77777777777778,262,2019-09-25,16:54:08,tarde,obra,01/11/2019
3371,R. Garibaldi,11.6,672,3.22222222222222,112,2019-09-25,17:25:10,tarde,obra,01/11/2019
3381,R. Santo Antônio,2.83,280,0.786111111111111,308,2019-09-25,16:48:31,tarde,obra,01/11/2019
3391,R. Mostardeiro,12.76,1111,3.54444444444444,192,2019-09-25,16:37:27,tarde,obra,01/11/2019
3401,Av. Independência - Pista Dir.,8.31,397,2.30833333333333,131,2019-09-25,17:51:24,tarde,obra,01/11/2019
3414,R. Sarmento Leite,13.71,569,3.80833333333333,92,2019-09-25,18:01:08,tarde,obra,01/11/2019
3421,Av. Osvaldo Aranha,12.66,699,3.51666666666667,133,2019-09-25,16:54:08,tarde,obra,01/11/2019
3431,R. Tomaz Flores,8.25,280,2.29166666666667,60,2019-09-25,18:46:57,tarde,obra,01/11/2019
3441,R. Garibaldi,7,1020,1.94444444444444,375,2019-09-25,17:25:10,tarde,obra,01/11/2019
3451,R. Santo Antônio,10.99,643,3.05277777777778,106,2019-09-25,18:54:58,tarde,obra,01/11/2019
3461,R. Mostardeiro,10.17,620,2.825,162,2019-09-25,18:56:43,tarde,obra,01/11/2019
3471,R. Garibaldi,14.95,672,4.15277777777778,66,2019-09-25,19:40:33,tarde,obra,01/11/2019
3481,R. Santo Antônio,11.71,568,3.25277777777778,78,2019-09-25,19:44:35,tarde,obra,01/11/2019
3491,R. Sarmento Leite,17.28,647,4.8,68,2019-09-25,19:59:08,tarde,obra,01/11/2019
3501,R. Mostardeiro,10.77,620,2.99166666666667,150,2019-09-26,16:17:27,tarde,obra,01/11/2019
3514,R. Garibaldi,9.26,1020,2.57222222222222,247,2019-09-26,16:59:27,tarde,obra,01/11/2019
3521,Av. Osvaldo Aranha,20.61,985,5.725,69,2019-09-26,16:59:45,tarde,obra,01/11/2019
3531,R. Santo Antônio,11.68,643,3.24444444444444,93,2019-09-26,16:44:59,tarde,obra,01/11/2019
3541,R. Prof. Annes Dias,4.4,346,1.22222222222222,248,2019-09-26,17:35:25,tarde,obra,01/11/2019
3551,Av. Osvaldo Aranha,9.54,1172,2.65,332,2019-09-26,17:07:25,tarde,obra,01/11/2019
3561,R. Sarmento Leite,15.59,647,4.33055555555556,82,2019-09-26,17:04:45,tarde,obra,01/11/2019
3571,R. Mostardeiro,13.26,698,3.68333333333333,113,2019-09-26,17:41:58,tarde,obra,01/11/2019
3581,R. Santo Antônio,8.74,643,2.42777777777778,160,2019-09-26,17:57:41,tarde,obra,01/11/2019
3591,R. Garibaldi,9.37,1020,2.60277777777778,243,2019-09-26,16:59:27,tarde,obra,01/11/2019
3601,R. Prof. Annes Dias,7.21,346,2.00277777777778,138,2019-09-26,18:40:47,tarde,obra,01/11/2019
3614,R. Sarmento Leite,11.5,647,3.19444444444444,136,2019-09-26,17:04:45,tarde,obra,01/11/2019
3621,R. Garibaldi,7.7,1020,2.13888888888889,328,2019-09-26,18:44:36,tarde,obra,01/11/2019
3631,Av. Osvaldo Aranha,9.71,699,2.69722222222222,193,2019-09-26,17:07:25,tarde,obra,01/11/2019
3641,R. Santo Antônio,8.41,643,2.33611111111111,170,2019-09-26,18:19:23,tarde,obra,01/11/2019
3651,R. Santo Antônio,11.96,568,3.32222222222222,74,2019-09-26,19:55:14,tarde,obra,01/11/2019
3661,R. Garibaldi,9.33,424,2.59166666666667,101,2019-09-26,19:57:01,tarde,obra,01/11/2019
3671,R. Garibaldi,12.55,672,3.48611111111111,96,2019-09-26,19:57:15,tarde,obra,01/11/2019
3681,R. Garibaldi,3.81,450,1.05833333333333,353,2019-09-27,16:39:19,tarde,obra,01/11/2019
3691,R. Garibaldi,8.09,672,2.24722222222222,203,2019-09-27,16:44:09,tarde,obra,01/11/2019
3701,R. Santo Antônio,10.79,643,2.99722222222222,109,2019-09-27,16:55:30,tarde,obra,01/11/2019
3714,R. Prof. Annes Dias,3.73,346,1.03611111111111,299,2019-09-27,17:17:23,tarde,obra,01/11/2019
3721,R. Sarmento Leite,9.24,329,2.56666666666667,92,2019-09-27,17:29:43,tarde,obra,01/11/2019
3731,Av. Osvaldo Aranha,9.42,326,2.61666666666667,85,2019-09-27,17:47:21,tarde,obra,01/11/2019
3741,R. Mostardeiro,18.55,620,5.15277777777778,63,2019-09-27,17:53:31,tarde,obra,01/11/2019
3751,R. Santo Antônio,5.57,643,1.54722222222222,310,2019-09-27,16:55:30,tarde,obra,01/11/2019
3761,R. Garibaldi,8.67,424,2.40833333333333,114,2019-09-27,17:53:17,tarde,obra,01/11/2019
3771,R. Garibaldi,9.44,672,2.62222222222222,160,2019-09-27,17:59:57,tarde,obra,01/11/2019
3781,R. Santo Antônio,4.24,153,1.17777777777778,104,2019-09-27,17:57:30,tarde,obra,01/11/2019
3791,R. Prof. Annes Dias,5.03,227,1.39722222222222,141,2019-09-27,18:53:23,tarde,obra,01/11/2019
3801,R. Sarmento Leite,14.49,509,4.025,75,2019-09-27,18:59:00,tarde,obra,01/11/2019
3814,R. Garibaldi,5.65,672,1.56944444444444,331,2019-09-27,18:42:44,tarde,obra,01/11/2019
3821,R. Garibaldi,8.99,450,2.49722222222222,109,2019-09-27,18:18:08,tarde,obra,01/11/2019
3831,R. Santo Antônio,8.02,568,2.22777777777778,158,2019-09-27,18:31:03,tarde,obra,01/11/2019
3841,R. Garibaldi,6.3,450,1.75,186,2019-09-27,19:05:12,tarde,obra,01/11/2019
3851,R. Garibaldi,14.91,672,4.14166666666667,66,2019-09-27,19:29:27,tarde,obra,01/11/2019
3861,Av. Independência,8.99,807,2.49722222222222,240,2019-09-30,16:25:16,tarde,obra,01/11/2019
3871,R. Mostardeiro,14.36,596,3.98888888888889,76,2019-09-30,16:55:22,tarde,obra,01/11/2019
3881,R. Santo Antônio,10.86,568,3.01666666666667,92,2019-09-30,16:44:06,tarde,obra,01/11/2019
3891,R. Sarmento Leite,12.88,569,3.57777777777778,102,2019-09-30,17:44:19,tarde,obra,01/11/2019
3901,Av. Independência,6.87,807,1.90833333333333,340,2019-09-30,16:25:16,tarde,obra,01/11/2019
3914,R. Prof. Annes Dias,5.22,346,1.45,204,2019-09-30,17:31:02,tarde,obra,01/11/2019
3921,Av. Osvaldo Aranha,9.56,699,2.65555555555556,197,2019-09-30,17:07:53,tarde,obra,01/11/2019
3931,R. Garibaldi,7.28,672,2.02222222222222,236,2019-09-30,17:15:36,tarde,obra,01/11/2019
3941,R. Mostardeiro,15.94,620,4.42777777777778,83,2019-09-30,17:55:43,tarde,obra,01/11/2019
3951,R. Sarmento Leite,13.76,647,3.82222222222222,102,2019-09-30,17:44:19,tarde,obra,01/11/2019
3961,Av. Osvaldo Aranha,2.39,799,0.663888888888889,1121,2019-09-30,17:07:53,tarde,obra,01/11/2019
3971,R. Mostardeiro,12.29,1111,3.41388888888889,204,2019-09-30,18:56:05,tarde,obra,01/11/2019
3981,R. Garibaldi,9.37,411,2.60277777777778,94,2019-09-30,18:38:58,tarde,obra,01/11/2019
3991,R. Santo Antônio,9.47,568,2.63055555555556,119,2019-09-30,18:52:40,tarde,obra,01/11/2019
4001,R. Garibaldi,14.97,672,4.15833333333333,65,2019-09-30,19:48:11,tarde,obra,01/11/2019
4014,R. Sarmento Leite,15.02,647,4.17222222222222,88,2019-09-30,19:57:07,tarde,obra,01/11/2019
1108,R. Garibaldi,12.35,447,3.43055555555556,66,2019-09-02,16:43:55,tarde,pre,01/11/2019
2105,R. Santo Antônio,11.73,568,3.25833333333333,78,2019-09-02,16:33:26,tarde,pre,01/11/2019
3105,R. Mostardeiro,11.49,995,3.19166666666667,205,2019-09-02,16:56:59,tarde,pre,01/11/2019
4104,R. Garibaldi,6.91,253,1.91944444444444,90,2019-09-02,16:57:41,tarde,pre,01/11/2019
567,Av. Osvaldo Aranha,2.48,1172,0.688888888888889,1587,2019-09-02,16:17:24,tarde,pre,01/11/2019
618,Av. Independência,8.62,807,2.39444444444444,254,2019-09-02,17:02:51,tarde,pre,01/11/2019
718,R. Sarmento Leite,13.3,647,3.69444444444444,108,2019-09-02,17:06:19,tarde,pre,01/11/2019
818,R. Prof. Annes Dias,5.98,227,1.66111111111111,115,2019-09-02,17:39:32,tarde,pre,01/11/2019
918,R. Santo Antônio,1.88,280,0.522222222222222,487,2019-09-02,16:33:26,tarde,pre,01/11/2019
1018,Av. Independência - Pista Dir.,9.12,414,2.53333333333333,121,2019-09-02,17:30:05,tarde,pre,01/11/2019
1118,R. Mostardeiro,11.51,620,3.19722222222222,137,2019-09-02,17:56:38,tarde,pre,01/11/2019
1218,R. Garibaldi,11.11,411,3.08611111111111,69,2019-09-02,17:26:16,tarde,pre,01/11/2019
1317,Av. Osvaldo Aranha,2.87,1172,0.797222222222222,1358,2019-09-02,16:17:24,tarde,pre,01/11/2019
1417,Av. Independência,6.91,742,1.91944444444444,310,2019-09-02,17:02:51,tarde,pre,01/11/2019
1517,R. Sarmento Leite,14.65,647,4.06944444444444,92,2019-09-02,17:06:19,tarde,pre,01/11/2019
1616,Av. Independência - Pista Dir.,7.68,414,2.13333333333333,151,2019-09-02,17:30:05,tarde,pre,01/11/2019
1716,R. Santo Antônio,2.94,643,0.816666666666667,680,2019-09-02,16:33:26,tarde,pre,01/11/2019
1815,R. Mostardeiro,11.55,1111,3.20833333333333,225,2019-09-02,18:33:50,tarde,pre,01/11/2019
1915,R. Garibaldi,7.22,253,2.00555555555556,85,2019-09-02,18:49:37,tarde,pre,01/11/2019
2015,R. Garibaldi,8.92,411,2.47777777777778,102,2019-09-02,18:06:40,tarde,pre,01/11/2019
2115,Av. Osvaldo Aranha,15,799,4.16666666666667,113,2019-09-02,16:17:24,tarde,pre,01/11/2019
2215,R. Santo Antônio,10.77,568,2.99166666666667,93,2019-09-02,16:33:26,tarde,pre,01/11/2019
2315,R. Santo Antônio,12.97,568,3.60277777777778,61,2019-09-03,16:45:41,tarde,pre,01/11/2019
2415,R. Mostardeiro,14.05,1111,3.90277777777778,163,2019-09-03,16:30:30,tarde,pre,01/11/2019
2515,Av. Osvaldo Aranha,9.62,699,2.67222222222222,195,2019-09-03,16:19:20,tarde,pre,01/11/2019
2615,R. Garibaldi,11.62,672,3.22777777777778,112,2019-09-03,16:56:26,tarde,pre,01/11/2019
2715,R. Prof. Annes Dias,4.27,346,1.18611111111111,257,2019-09-03,17:21:59,tarde,pre,01/11/2019
2815,R. Sarmento Leite,12.2,647,3.38888888888889,124,2019-09-03,17:08:56,tarde,pre,01/11/2019
2915,R. Santo Antônio,3.17,280,0.880555555555556,270,2019-09-03,17:56:48,tarde,pre,01/11/2019
3015,Av. Osvaldo Aranha,8.78,985,2.43888888888889,311,2019-09-03,16:19:20,tarde,pre,01/11/2019
3115,R. Mostardeiro,10.67,620,2.96388888888889,152,2019-09-03,17:48:46,tarde,pre,01/11/2019
3215,Av. Independência - Pista Dir.,10.71,414,2.975,96,2019-09-03,17:25:22,tarde,pre,01/11/2019
3315,R. Garibaldi,7.15,589,1.98611111111111,205,2019-09-03,16:56:26,tarde,pre,01/11/2019
3415,Av. Osvaldo Aranha,5.21,1172,1.44722222222222,699,2019-09-03,16:19:20,tarde,pre,01/11/2019
3515,R. Sarmento Leite,12.85,647,3.56944444444444,114,2019-09-03,17:08:56,tarde,pre,01/11/2019
3615,R. Garibaldi,13.15,672,3.65277777777778,88,2019-09-03,16:56:26,tarde,pre,01/11/2019
3715,R. Tomaz Flores,8.22,280,2.28333333333333,60,2019-09-03,18:46:53,tarde,pre,01/11/2019
3815,R. Santo Antônio,7.71,643,2.14166666666667,195,2019-09-03,18:46:46,tarde,pre,01/11/2019
3915,Av. Independência - Pista Dir.,12.12,414,3.36666666666667,80,2019-09-03,18:58:55,tarde,pre,01/11/2019
4015,R. Mostardeiro,8.02,1111,2.22777777777778,377,2019-09-03,18:37:31,tarde,pre,01/11/2019
4114,Av. Osvaldo Aranha,20.47,867,5.68611111111111,66,2019-09-03,16:19:20,tarde,pre,01/11/2019
4214,R. Garibaldi,14.29,672,3.96944444444444,73,2019-09-03,16:56:26,tarde,pre,01/11/2019
4314,Av. Independência,18.26,636,5.07222222222222,62,2019-09-04,16:58:00,tarde,pre,01/11/2019
4414,R. Garibaldi,12.52,1191,3.47777777777778,172,2019-09-04,16:52:23,tarde,pre,01/11/2019
4514,R. Mostardeiro,11.54,435,3.20555555555556,93,2019-09-04,16:36:50,tarde,pre,01/11/2019
4614,R. Santo Antônio,9.93,568,2.75833333333333,109,2019-09-04,16:46:21,tarde,pre,01/11/2019
